1 	 6.294214 	 6.760531 
2 	 3.676215 	 12.013290 
3 	 2.814235 	 3.523880 
4 	 2.616282 	 2.787215 
5 	 2.492203 	 6.265297 
6 	 2.372723 	 3.163117 
7 	 2.985546 	 3.115620 
8 	 4.402730 	 4.643869 
9 	 7.778909 	 19.658499 
1 	 6.177874 	 8.747065 
2 	 3.607897 	 4.978756 
3 	 2.899774 	 3.289559 
4 	 2.632334 	 4.676531 
5 	 2.517130 	 2.713828 
6 	 2.388232 	 3.728774 
7 	 4.326952 	 5.510682 
8 	 5.679582 	 8.951889 
9 	 11.344730 	 26.145107 
1 	 6.359036 	 6.956658 
2 	 3.529915 	 3.852895 
3 	 2.785515 	 4.600147 
4 	 2.685411 	 3.025655 
5 	 2.705935 	 3.261512 
6 	 2.982399 	 5.321581 
7 	 2.909462 	 2.949895 
8 	 3.432134 	 5.535447 
9 	 7.191886 	 7.338302 
1 	 6.262969 	 24.305443 
1 	 5.811264 	 6.674416 
1 	 6.161298 	 6.718536 
1 	 6.194337 	 10.051638 
1 	 5.759082 	 6.388772 
2 	 3.619802 	 5.968241 
3 	 3.000868 	 3.092723 
4 	 2.556484 	 2.714815 
5 	 2.531430 	 9.037102 
6 	 2.891614 	 6.413130 
7 	 3.696285 	 5.019621 
8 	 3.849274 	 4.614625 
9 	 8.681912 	 9.491341 
1 	 6.194173 	 11.283612 
2 	 3.659369 	 3.749800 
3 	 2.943396 	 2.955218 
4 	 2.621936 	 3.850144 
5 	 2.360588 	 2.800054 
6 	 2.701694 	 4.153783 
7 	 2.907216 	 5.426677 
8 	 4.294888 	 4.472416 
9 	 9.756773 	 13.899749 
